rank,pool,type,name,default_drop_rate_percent,age_rule
1,Top-100 Items,equipment,Astral Edge,0.100000,Age bonus applied separately
2,Top-100 Items,equipment,Sunforge Blade,0.099091,Age bonus applied separately
3,Top-100 Items,equipment,Moonveil Saber,0.098182,Age bonus applied separately
4,Top-100 Items,equipment,Dragonwake Greatsword,0.097273,Age bonus applied separately
5,Top-100 Items,equipment,Stormcaller Spear,0.096364,Age bonus applied separately
6,Top-100 Items,equipment,Verdant Halberd,0.095455,Age bonus applied separately
7,Top-100 Items,equipment,Nightglass Dagger,0.094545,Age bonus applied separately
8,Top-100 Items,equipment,Emberwind Bow,0.093636,Age bonus applied separately
9,Top-100 Items,equipment,Starfall Staff,0.092727,Age bonus applied separately
10,Top-100 Items,equipment,Runebound Tome,0.091818,Age bonus applied separately
11,Top-100 Items,equipment,Aegis of Dawn,0.090909,Age bonus applied separately
12,Top-100 Items,equipment,Dragonhide Cuirass,0.090000,Age bonus applied separately
13,Top-100 Items,equipment,Moonlit Robe,0.089091,Age bonus applied separately
14,Top-100 Items,equipment,Stormguard Plate,0.088182,Age bonus applied separately
15,Top-100 Items,equipment,Verdant Mantle,0.087273,Age bonus applied separately
16,Top-100 Items,equipment,Nightwarden Coat,0.086364,Age bonus applied separately
17,Top-100 Items,equipment,Emberweave Vest,0.085455,Age bonus applied separately
18,Top-100 Items,equipment,Starcaller Raiment,0.084545,Age bonus applied separately
19,Top-100 Items,equipment,Ironbark Armor,0.083636,Age bonus applied separately
20,Top-100 Items,equipment,Sovereign Mail,0.082727,Age bonus applied separately
21,Top-100 Items,equipment,Crown of the First Light,0.081818,Age bonus applied separately
22,Top-100 Items,equipment,Dragoncrest Helm,0.080909,Age bonus applied separately
23,Top-100 Items,equipment,Moonshade Circlet,0.080000,Age bonus applied separately
24,Top-100 Items,equipment,Stormwatch Helm,0.079091,Age bonus applied separately
25,Top-100 Items,equipment,Verdant Crown,0.078182,Age bonus applied separately
26,Top-100 Items,equipment,Nightwarden Hood,0.077273,Age bonus applied separately
27,Top-100 Items,equipment,Emberglass Circlet,0.076364,Age bonus applied separately
28,Top-100 Items,equipment,Starforged Crown,0.075455,Age bonus applied separately
29,Top-100 Items,equipment,Ironbark Helm,0.074545,Age bonus applied separately
30,Top-100 Items,equipment,Sovereign Visor,0.073636,Age bonus applied separately
31,Top-100 Items,equipment,Wings of Dawn,0.072727,Age bonus applied separately
32,Top-100 Items,equipment,Dragonwing Cloak,0.071818,Age bonus applied separately
33,Top-100 Items,equipment,Moonveil Cape,0.070909,Age bonus applied separately
34,Top-100 Items,equipment,Stormrunner Mantle,0.070000,Age bonus applied separately
35,Top-100 Items,equipment,Verdantwind Shawl,0.069091,Age bonus applied separately
36,Top-100 Items,equipment,Nightfall Cloak,0.068182,Age bonus applied separately
37,Top-100 Items,equipment,Embertrail Cape,0.067273,Age bonus applied separately
38,Top-100 Items,equipment,Starpath Mantle,0.066364,Age bonus applied separately
39,Top-100 Items,equipment,Ironbark Cape,0.065455,Age bonus applied separately
40,Top-100 Items,equipment,Sovereign Mantle,0.064545,Age bonus applied separately
41,Top-100 Items,equipment,Dawnstrider Greaves,0.063636,Age bonus applied separately
42,Top-100 Items,equipment,Dragonstep Boots,0.062727,Age bonus applied separately
43,Top-100 Items,equipment,Moonwalker Boots,0.061818,Age bonus applied separately
44,Top-100 Items,equipment,Stormrunner Boots,0.060909,Age bonus applied separately
45,Top-100 Items,equipment,Verdantstride Shoes,0.060000,Age bonus applied separately
46,Top-100 Items,equipment,Nightstep Boots,0.059091,Age bonus applied separately
47,Top-100 Items,equipment,Embermarch Boots,0.058182,Age bonus applied separately
48,Top-100 Items,equipment,Starpath Greaves,0.057273,Age bonus applied separately
49,Top-100 Items,equipment,Ironbark Greaves,0.056364,Age bonus applied separately
50,Top-100 Items,equipment,Sovereign Sabatons,0.055455,Age bonus applied separately
51,Top-100 Items,equipment,Sunheart Ring,0.054545,Age bonus applied separately
52,Top-100 Items,equipment,Dragoncore Ring,0.053636,Age bonus applied separately
53,Top-100 Items,equipment,Moonstone Seal,0.052727,Age bonus applied separately
54,Top-100 Items,equipment,Stormeye Ring,0.051818,Age bonus applied separately
55,Top-100 Items,equipment,Verdant Signet,0.050909,Age bonus applied separately
56,Top-100 Items,equipment,Nightglass Ring,0.050000,Age bonus applied separately
57,Top-100 Items,equipment,Emberheart Pendant,0.049091,Age bonus applied separately
58,Top-100 Items,equipment,Starcall Talisman,0.048182,Age bonus applied separately
59,Top-100 Items,equipment,Ironbark Charm,0.047273,Age bonus applied separately
60,Top-100 Items,equipment,Sovereign Seal,0.046364,Age bonus applied separately
61,Top-100 Items,equipment,Dawnpiercer,0.045455,Age bonus applied separately
62,Top-100 Items,equipment,Dragonfire Greatblade,0.044545,Age bonus applied separately
63,Top-100 Items,equipment,Moonshadow Katar,0.043636,Age bonus applied separately
64,Top-100 Items,equipment,Stormbreak Lance,0.042727,Age bonus applied separately
65,Top-100 Items,equipment,Verdant Reaper,0.041818,Age bonus applied separately
66,Top-100 Items,equipment,Nightfall Kris,0.040909,Age bonus applied separately
67,Top-100 Items,equipment,Emberstorm Crossbow,0.040000,Age bonus applied separately
68,Top-100 Items,equipment,Starbound Grimoire,0.039091,Age bonus applied separately
69,Top-100 Items,equipment,Ironroot Hammer,0.038182,Age bonus applied separately
70,Top-100 Items,equipment,Sovereign Waraxe,0.037273,Age bonus applied separately
71,Top-100 Items,equipment,Dawnplate Armor,0.036364,Age bonus applied separately
72,Top-100 Items,equipment,Dragonlord Cuirass,0.035455,Age bonus applied separately
73,Top-100 Items,equipment,Moonshadow Vestment,0.034545,Age bonus applied separately
74,Top-100 Items,equipment,Stormbreaker Plate,0.033636,Age bonus applied separately
75,Top-100 Items,equipment,Verdant Guardian Armor,0.032727,Age bonus applied separately
76,Top-100 Items,equipment,Nightreaper Mail,0.031818,Age bonus applied separately
77,Top-100 Items,equipment,Emberlord Armor,0.030909,Age bonus applied separately
78,Top-100 Items,equipment,Starforged Cuirass,0.030000,Age bonus applied separately
79,Top-100 Items,equipment,Ironroot Bulwark,0.029091,Age bonus applied separately
80,Top-100 Items,equipment,Sovereign Aegis,0.028182,Age bonus applied separately
81,Top-100 Items,equipment,Dawnwatch Crown,0.027273,Age bonus applied separately
82,Top-100 Items,equipment,Dragonlord Helm,0.026364,Age bonus applied separately
83,Top-100 Items,equipment,Moonshadow Hood,0.025455,Age bonus applied separately
84,Top-100 Items,equipment,Stormbreaker Helm,0.024545,Age bonus applied separately
85,Top-100 Items,equipment,Verdant Guardian Helm,0.023636,Age bonus applied separately
86,Top-100 Items,equipment,Nightreaper Mask,0.022727,Age bonus applied separately
87,Top-100 Items,equipment,Emberlord Crown,0.021818,Age bonus applied separately
88,Top-100 Items,equipment,Starforged Circlet,0.020909,Age bonus applied separately
89,Top-100 Items,equipment,Ironroot Crown,0.020000,Age bonus applied separately
90,Top-100 Items,equipment,Sovereign Diadem,0.019091,Age bonus applied separately
91,Top-100 Items,equipment,Dawnwind Cloak,0.018182,Age bonus applied separately
92,Top-100 Items,equipment,Dragonlord Mantle,0.017273,Age bonus applied separately
93,Top-100 Items,equipment,Moonshadow Cape,0.016364,Age bonus applied separately
94,Top-100 Items,equipment,Stormbreaker Cloak,0.015455,Age bonus applied separately
95,Top-100 Items,equipment,Verdant Guardian Shawl,0.014545,Age bonus applied separately
96,Top-100 Items,equipment,Nightreaper Mantle,0.013636,Age bonus applied separately
97,Top-100 Items,equipment,Emberlord Cape,0.012727,Age bonus applied separately
98,Top-100 Items,equipment,Starforged Wings,0.011818,Age bonus applied separately
99,Top-100 Items,equipment,Ironroot Mantle,0.010909,Age bonus applied separately
100,Top-100 Items,equipment,Sovereign Cloak,0.010000,Age bonus applied separately
1,Top-100 Cards,card,Dawn Wyrm Card,0.100000,Age bonus applied separately
2,Top-100 Cards,card,Dragon Emperor Card,0.099091,Age bonus applied separately
3,Top-100 Cards,card,Moon Serpent Card,0.098182,Age bonus applied separately
4,Top-100 Cards,card,Storm Titan Card,0.097273,Age bonus applied separately
5,Top-100 Cards,card,Verdant Ancient Card,0.096364,Age bonus applied separately
6,Top-100 Cards,card,Night Reaper Card,0.095455,Age bonus applied separately
7,Top-100 Cards,card,Ember Phoenix Card,0.094545,Age bonus applied separately
8,Top-100 Cards,card,Star Oracle Card,0.093636,Age bonus applied separately
9,Top-100 Cards,card,Iron Colossus Card,0.092727,Age bonus applied separately
10,Top-100 Cards,card,Sovereign Guardian Card,0.091818,Age bonus applied separately
11,Top-100 Cards,card,Bloodfang Wolf Card,0.090909,Age bonus applied separately
12,Top-100 Cards,card,Arcane Golem Card,0.090000,Age bonus applied separately
13,Top-100 Cards,card,Sky Mantis Card,0.089091,Age bonus applied separately
14,Top-100 Cards,card,Grave Knight Card,0.088182,Age bonus applied separately
15,Top-100 Cards,card,Plague Zombie Card,0.087273,Age bonus applied separately
16,Top-100 Cards,card,Forest Orc Card,0.086364,Age bonus applied separately
17,Top-100 Cards,card,Crimson Goblin Card,0.085455,Age bonus applied separately
18,Top-100 Cards,card,Ancient Druid Card,0.084545,Age bonus applied separately
19,Top-100 Cards,card,Royal Poring Card,0.083636,Age bonus applied separately
20,Top-100 Cards,card,Abyssal Dragon Card,0.082727,Age bonus applied separately
21,Top-100 Cards,card,Celestial Knight Card,0.081818,Age bonus applied separately
22,Top-100 Cards,card,Void Mage Card,0.080909,Age bonus applied separately
23,Top-100 Cards,card,Wild Falcon Card,0.080000,Age bonus applied separately
24,Top-100 Cards,card,Shadow Thief Card,0.079091,Age bonus applied separately
25,Top-100 Cards,card,Sacred Acolyte Card,0.078182,Age bonus applied separately
26,Top-100 Cards,card,Merchant Prince Card,0.077273,Age bonus applied separately
27,Top-100 Cards,card,Warrior Lord Card,0.076364,Age bonus applied separately
28,Top-100 Cards,card,Arcane Master Card,0.075455,Age bonus applied separately
29,Top-100 Cards,card,Ranger Sovereign Card,0.074545,Age bonus applied separately
30,Top-100 Cards,card,Thief King Card,0.073636,Age bonus applied separately
31,Top-100 Cards,card,Aegis Saint Card,0.072727,Age bonus applied separately
32,Top-100 Cards,card,Forge Master Card,0.071818,Age bonus applied separately
33,Top-100 Cards,card,World Tree Card,0.070909,Age bonus applied separately
